id;typeactivite;resume;date_echeance;heure_activite;importance;note
1;CONFERENCE;withdrawal eco-centric Unbranded;2022-12-10;2022-12-10T20:04:59;MOYENNE;../fake-data/blob/hipster.txt
2;REUNION;value-added dot-com Steel;2022-12-11;2022-12-11T05:01:33;IMPORTANT;../fake-data/blob/hipster.txt
3;SMS;parsing Digitized global;2022-12-11;2022-12-11T08:41:47;IMPORTANT;../fake-data/blob/hipster.txt
4;REUNION;Kids;2022-12-11;2022-12-11T07:08:32;MOYENNE;../fake-data/blob/hipster.txt
5;CONFERENCE;Lake;2022-12-11;2022-12-10T21:58:07;IMPORTANT;../fake-data/blob/hipster.txt
6;COMMENTAIRE;Caribbean;2022-12-11;2022-12-10T12:36:24;MOYENNE;../fake-data/blob/hipster.txt
7;A_FAIRE;Ball IB;2022-12-11;2022-12-11T00:12:33;MOYENNE;../fake-data/blob/hipster.txt
8;A_FAIRE;Loan channels azure;2022-12-11;2022-12-10T21:47:08;IMPORTANT;../fake-data/blob/hipster.txt
9;SMS;SAS Concrete architectures;2022-12-11;2022-12-10T12:56:53;IMPORTANT;../fake-data/blob/hipster.txt
10;CONFERENCE;Table Credit;2022-12-11;2022-12-11T03:31:02;MOYENNE;../fake-data/blob/hipster.txt
