id;designation;description
1;Steel;../fake-data/blob/hipster.txt
2;Assistant;../fake-data/blob/hipster.txt
3;cross-platform Principal;../fake-data/blob/hipster.txt
4;wireless Computer;../fake-data/blob/hipster.txt
5;reboot magenta THX;../fake-data/blob/hipster.txt
6;THX;../fake-data/blob/hipster.txt
7;Centers Metal navigating;../fake-data/blob/hipster.txt
8;partnerships Infrastructure;../fake-data/blob/hipster.txt
9;transmitting New Bedfordshire;../fake-data/blob/hipster.txt
10;Malagasy intranet;../fake-data/blob/hipster.txt
