id;picture;picture_content_type;codebarre;product_code;sale_price;unite_mesure;stock_disponible
1;../fake-data/blob/hipster.png;image/png;Summit;synergies;64893;Run;99597
2;../fake-data/blob/hipster.png;image/png;auxiliary blue;synthesize ADP;60308;administration;3813
3;../fake-data/blob/hipster.png;image/png;Electronics;Implementation digital Enterprise-wide;14611;Car Cotton Unbranded;72170
4;../fake-data/blob/hipster.png;image/png;AI;Frozen;1429;Books;44773
5;../fake-data/blob/hipster.png;image/png;RSS reciprocal;implement monitor iterate;30037;bandwidth scale;14527
6;../fake-data/blob/hipster.png;image/png;Tools sensor Mouse;infomediaries Colorado;3069;Loan;70306
7;../fake-data/blob/hipster.png;image/png;South Customer Gambia;Lev;72308;Bike whiteboard;70164
8;../fake-data/blob/hipster.png;image/png;moderator Officer;pixel Planner;86500;grow Extensions Creative;34574
9;../fake-data/blob/hipster.png;image/png;generation Camp;Secured Republic Comoro;51264;Ball;42971
10;../fake-data/blob/hipster.png;image/png;back-end local;Fiji Frozen;75549;JBOD Cambridgeshire withdrawal;1374
